total	1894610
better	128155	FFA401
bad	93390	07548A
good	76610	FFF700
right	40683	E97802
guilty	31591	004E6F
sick	27706	2E9127
same	25389	017E94
shit	24632	00553A
sorry	23779	00696F
well	22428	E6C637
down	20847	18213E
alone	17988	595884
happy	17849	FF7F00
great	17058	FFD801
comfortable	16552	40B6B8
sad	16227	043F69
free	15675	7EC31B
lost	14602	014872
stupid	14143	027975
tired	13834	273E67
weird	11972	F70059
lonely	11789	08468F
old	11750	352C65
home	11241	263D67
ill	10998	11581C
horrible	9649	E4010A
off	8362	0A3B8A
different	8308	EA3137
whole	8151	FE992D
pretty	7916	F44387
safe	7733	3688BA
done	7693	1B2958
special	7544	F30263
wrong	7542	73207C
empty	7452	3A4AA1
loved	7383	F30172
worse	7356	243C96
depressed	7273	283152
fine	7226	99D013
new	7147	99CF15
hurt	7018	235C93
terrible	6905	99001E
best	6433	FFFF4F
close	6368	274784
real	6199	41A84D
confident	6024	FF7F00
uncomfortable	5984	1E3869
lucky	5716	FED73C
awful	5685	CB1F13
crying	5672	992F93
shitty	5535	00744E
missing	5370	015B5C
accomplished	5312	FEA53F
big	5296	FF6600
cold	5237	3FB6BA
complete	5219	B2DB11
first	5187	FDD93B
head	5178	FDD93D
alive	5163	64B822
used	5090	552966
important	5034	E6AB0F
crappy	5025	00734E
hard	4809	4A688C
ok	4615	FF7F1C
ready	4577	FB9A27
able	4506	C36619
okay	4318	F1B62A
wanted	4304	E4302F
fat	4276	FD0100
sure	4265	E49202
lazy	4249	4E5F7B
nice	4179	FD9927
strong	4128	FFB200
stuck	4112	0B4FA0
compelled	4067	017C8C
blessed	4061	187429
strange	3950	F30157
awkward	3947	2D6E8A
warm	3884	FF4B02
certain	3826	FE9901
weak	3721	196C62
overwhelmed	3684	263F67
normal	3625	084892
proud	3604	FFB300
helpless	3582	026874
full	3502	A5238D
stressed	3383	9256A0
behind	3372	312675
mean	3350	950125
dumb	3285	2C558B
hot	3283	FF1A00
dead	3182	C80027
deep	3155	41B3BD
trapped	3102	7C5081
true	3098	FFD93C
crazy	3077	F3026D
angry	3055	E0192C
dirty	3054	034E6D
small	3012	28669F
drained	2954	394378
useless	2907	7D1842
low	2902	3A578F
ashamed	2897	9C0047
both	2890	B2DB11
nervous	2886	28ADCE
high	2819	B2DC10
obligated	2756	11581C
huge	2734	E4010A
numb	2717	E49202
young	2714	00744E
miserable	2713	FF7F1C
baby	2689	FFA401
closer	2664	99D013
upset	2656	FFF700
silly	2629	950125
relaxed	2626	FED73C
morning	2606	263F67
cool	2596	FFFF4F
bored	2536	312675
gross	2523	015B5C
scared	2513	FF7F1C
worthless	2505	40B6B8
confused	2499	73207C
walking	2492	196C62
man	2488	00744E
blah	2446	B2DC10
dizzy	2441	FFF700
wonderful	2437	99001E
needed	2371	273E67
eating	2363	73207C
odd	2352	FFFF4F
playing	2309	FFFF4F
sleepy	2269	014872
skin	2245	552966
excited	2231	FE9829
amazing	2229	00734E
whatever	2213	FF7F00
light	2209	E49202
knowing	2169	4E5F7B
productive	2165	FD9927
selfish	2163	FED73C
exhausted	2152	004E6F
relieved	2150	18213E
funny	2149	004E6F
fun	2113	034E6D
beautiful	2102	3FB6BA
human	2097	99D013
happier	2052	18213E
alright	2050	FFFF4F
wasting	2031	015B5C
content	2023	A5238D
growing	2012	EA3137
ugly	2011	18213E
hungry	1995	F30157
secure	1980	00744E
broken	1968	E4010A
changed	1958	FE9901
super	1935	08468F
frustrated	1922	0A3B8A
missed	1916	08468F
grown	1914	263D67
open	1908	FF7F00
icky	1899	40B6B8
connected	1890	263D67
refreshed	1889	F30263
awesome	1889	015B5C
wasted	1886	043F69
anxious	1857	595884
blue	1855	28ADCE
fit	1820	0A3B8A
insecure	1791	E4010A
inspired	1785	F44387
seen	1774	E4302F
older	1771	F70059
pathetic	1759	FEA53F
drunk	1735	3A4AA1
afraid	1723	FDD93D
known	1717	FFB200
found	1715	00553A
calm	1690	7D1842
positive	1677	243C96
sharing	1667	0A3B8A
worst	1645	B2DC10
necessary	1610	00553A
turned	1605	FFFF4F
slipping	1602	00553A
nauseous	1580	015B5C
mad	1573	F44387
cut	1569	FFB300
responsible	1538	99D013
side	1531	1E3869
disappointed	1529	E97802
emotional	1522	2D6E8A
awake	1513	017C8C
inadequate	1499	FFF700
waste	1494	1E3869
current	1486	7EC31B
motivated	1471	FDBF2C
lame	1463	18213E
disconnected	1461	07548A
entire	1451	235C93
creative	1442	027975
short	1438	4A688C
future	1425	FF7F00
hopeless	1423	FF6600
satisfied	1418	1E3869
million	1416	F30157
driving	1414	00696F
perfect	1392	352C65
power	1391	FF7F1C
holding	1387	552966
boring	1386	0A3B8A
fool	1385	0A3B8A
changing	1381	C36619
isolated	1359	E4010A
breaking	1349	FEA53F
late	1347	FB9A27
ago	1342	9C0047
naked	1328	027975
smart	1313	07548A
rambling	1296	FB9A27
uneasy	1294	043F69
jealous	1289	027975
beat	1277	E97802
heavy	1276	28669F
set	1265	FF6600
dancing	1262	263F67
welcome	1260	00553A
happening	1239	FF6600
restless	1235	014872
busy	1232	FD9927
pissed	1230	FF7F00
torn	1223	FEA740
distant	1222	EA3137
vulnerable	1210	F1B62A
personal	1207	FD9927
clean	1206	283152
turning	1202	015B5C
embarrassed	1200	017E94
standing	1195	7D1842
beginning	1190	2C558B
failed	1189	950125
fucked	1185	595884
obliged	1184	FFB200
spent	1171	F30263
express	1169	026874
optimistic	1161	73207C
sore	1159	F3026D
deal	1154	28ADCE
tried	1153	026874
burning	1149	FE992D
random	1149	7D1842
darn	1136	273E67
disgusting	1127	FB9A27
healthy	1105	73207C
nostalgic	1098	73207C
wearing	1095	F30263
social	1088	3A4AA1
sexy	1086	283152
learned	1085	552966
fast	1082	196C62
bleeding	1081	99D013
rested	1081	7D1842
killing	1077	E6AB0F
glad	1074	F30263
rusty	1064	2D6E8A
middle	1043	2C558B
asking	1036	41B3BD
prepared	1035	FE9901
justified	1034	1B2958
absolute	1032	00734E
extra	1027	312675
inclined	1023	FD0100
violated	1022	FEA53F
ripped	1019	017977
dark	1018	00744E
fortunate	1014	2D6E8A
biggest	1014	FFD801
burnt	1013	4A688C
hanging	1012	18213E
fake	998	CB1F13
worried	989	00744E
abandoned	977	FD0100
easy	974	08468F
honest	970	28669F
due	966	7C5081
general	966	FF7F1C
pulled	965	FD9927
group	960	28669F
drinking	949	C80027
threatened	949	FF6600
won	945	1B2958
possible	943	73207C
lying	936	FF7F00
interesting	930	FE9901
bitter	929	E49202
unloved	928	017E94
poor	925	FE9901
building	922	034E6D
akin	914	FFD93C
sound	914	FFFF4F
grateful	913	283152
annoyed	913	C36619
slow	905	187429
weather	905	3A578F
forgotten	898	017E94
major	897	7EC31B
fly	897	352C65
lousy	893	9256A0
neglected	893	235C93
insane	890	EA3137
floating	890	E6AB0F
written	887	243C96
involved	885	FE9901
inferior	876	015B5C
moved	874	263D67
unhappy	868	FF7F1C
vital	864	FED73C
ignored	862	FED73C
cramped	861	40B6B8
clear	858	595884
honored	854	FDD93D
fair	854	00734E
forced	851	11581C
rejected	848	F3026D
forward	843	00744E
grab	843	3A4AA1
faint	840	64B822
negative	834	026874
worked	832	273E67
party	831	F30157
utter	831	99001E
easier	826	034E6D
fantastic	821	2C558B
serious	820	FFB200
unwanted	817	084892
foolish	817	274784
heard	816	FEA53F
fresh	814	11581C
pushing	813	FDBF2C
pushed	811	FDD93B
useful	811	F1B62A
particular	810	FB9A27
across	807	FF7F00
retarded	806	00553A
giddy	806	9C0047
rush	795	235C93
paper	795	9256A0
ridiculous	791	73207C
fighting	789	F30172
minute	786	00734E
appreciated	782	004E6F
drifting	780	99D013
level	779	2E9127
intense	776	FF7F00
sweet	774	187429
tiny	770	2E9127
evil	767	FE9901
black	765	FFF700
yucky	763	41B3BD
invisible	761	4A688C
worn	761	07548A
bloated	761	FF7F1C
rich	759	595884
homesick	753	0A3B8A
further	753	004E6F
rushed	752	FDD93D
gay	752	CB1F13
worthy	750	312675
appropriate	750	FFB300
soft	750	3A4AA1
choice	742	F44387
early	738	28669F
burst	731	18213E
passing	731	E6C637
powerful	731	E0192C
deprived	720	312675
rough	720	017977
straight	717	0A3B8A
screwed	717	FB9A27
pressured	711	394378
singing	710	043F69
queasy	706	3A578F
lifted	706	263D67
front	703	2E9127
incomplete	703	FFF700
spring	701	FF7F00
adult	701	2E9127
sudden	700	1E3869
desperate	699	084892
broke	688	3FB6BA
country	686	283152
hollow	682	9256A0
detached	679	FFB300
defeated	679	B2DC10
state	678	C36619
conscious	677	73207C
blame	675	FFB300
lethargic	673	07548A
powerless	673	7C5081
disgusted	673	2E9127
constant	671	FE9901
bigger	670	273E67
annoying	669	017E94
spoiled	668	394378
tight	668	0A3B8A
cheating	662	004E6F
similar	661	F1B62A
shut	658	595884
slight	657	C36619
interested	651	FDD93D
bottomed	650	99D013
kept	646	004E6F
natural	644	0B4FA0
younger	643	41A84D
bottom	639	017E94
decent	637	3A578F
winter	637	7C5081
shy	636	FF7F1C
peaceful	636	7C5081
accepted	629	FFD93C
exact	628	026874
acting	626	9C0047
difficult	625	283152
non	624	41A84D
tense	621	00734E
energetic	620	1E3869
lacking	615	08468F
subject	615	00744E
ground	614	084892
ahead	610	FF7F1C
attached	607	00744E
loving	601	004E6F
settled	597	28669F
sister	597	CB1F13
thankful	595	027975
wet	594	FB9A27
capable	594	FF7F1C
pointless	594	00734E
physical	593	7D1842
usual	592	C36619
familiar	591	7C5081
liked	591	FB9A27
blank	589	014872
loose	589	00734E
laughing	589	18213E
otherwise	588	263D67
empowered	586	235C93
english	585	0A3B8A
present	585	E4302F
anti	585	C80027
drawn	578	014872
stopped	573	FFA401
cute	573	274784
incredible	573	084892
hopeful	573	7D1842
pure	573	FF7F00
large	570	043F69
failing	567	FD9927
static	567	FFA401
cheap	566	F44387
white	564	196C62
superior	564	2E9127
fulfilled	564	EA3137
panic	563	00734E
groggy	560	F30263
complaining	557	2E9127
mixed	557	1B2958
paranoid	552	A5238D
greatest	552	263F67
shot	551	FFA401
actual	545	FF7F00
common	543	FD0100
giant	542	FD9927
treated	542	99CF15
quiet	541	F30172
cutting	541	034E6D
dread	540	FB9A27
closest	537	64B822
simple	532	11581C
nauseated	530	FFD93C
war	529	FEA53F
mature	529	00744E
crushed	529	FED73C
finished	526	950125
unprepared	524	E0192C
allowed	523	235C93
closing	521	C80027
pleased	521	E97802
intimidated	519	FE992D
rotten	517	243C96
woozy	516	015B5C
filled	515	E4010A
liberated	511	2D6E8A
ended	509	7EC31B
attractive	508	CB1F13
red	507	FFB200
public	506	00744E
meaning	505	283152
lower	504	FF6600
extreme	501	3A578F
opposite	500	027975
healthier	500	FFB300
understanding	499	FD0100
several	497	273E67
thrown	497	FF7F1C
touched	495	FFB200
jumping	494	F3026D
passionate	494	73207C
rising	489	2E9127
bound	488	FED73C
discouraged	487	017977
four	486	FFB300
bloody	486	017C8C
fallen	481	1B2958
offended	481	084892
willing	481	FF4B02
independent	478	187429
insulted	476	99CF15
spinning	475	043F69
unsure	474	FFD93C
born	474	F30157
likely	474	992F93
business	473	196C62
semi	471	73207C
melancholy	471	FE9901
pregnant	469	FFFF4F
daily	468	3A4AA1
touching	468	B2DB11
earlier	466	273E67
aware	466	FE9901
painful	465	F44387
hearing	463	034E6D
experienced	460	11581C
potential	456	FD9927
staring	455	273E67
tied	454	FDBF2C
luckiest	453	4E5F7B
generous	452	41B3BD
led	452	FDD93B
fading	450	73207C
nasty	448	263F67
surrounded	448	FF1A00
damned	447	FB9A27
immense	445	A5238D
unmotivated	445	FFB300
unable	444	3688BA
impossible	444	2C558B
void	443	00734E
shell	443	992F93
rude	442	552966
magic	441	00696F
pop	438	004E6F
sluggish	434	FE9901
privileged	433	595884
successful	431	E49202
creeping	430	4E5F7B
speaking	429	3688BA
dry	429	F30263
apathetic	427	E4302F
closed	426	015B5C
insignificant	425	950125
sharp	423	E49202
bum	422	73207C
irritated	421	FD9927
cooking	421	FD0100
flat	420	196C62
brave	419	08468F
greater	418	552966
exposed	416	C80027
dull	415	1B2958
unfair	413	B2DB11
following	410	FB9A27
alienated	408	F3026D
spiritual	406	FF7F00
stable	405	F30172
attack	405	FD0100
unwell	404	014872
burned	403	FF7F00
crummy	403	FFD801
granted	403	FF6600
store	401	FD9927
longing	400	595884
hung	398	99D013
secret	398	41B3BD
chill	394	3A4AA1
american	394	41A84D
locked	394	FFD801
understood	393	0B4FA0
road	393	00734E
solid	393	FF7F00
favorite	393	0A3B8A
related	391	026874
paid	391	40B6B8
expected	390	263D67
flowing	388	043F69
correct	387	F70059
bitchy	386	283152
entitled	386	1B2958
rid	385	017C8C
mental	385	C36619
unworthy	383	0A3B8A
pressing	383	FFD93C
shaking	382	FE9901
slightest	381	28ADCE
star	381	FE9829
popular	380	243C96
worthwhile	378	394378
fragile	377	F30172
ripping	377	28669F
based	376	C80027
figured	375	99D013
setting	374	FDD93D
exciting	374	017977
blind	373	243C96
thin	373	07548A
wondering	370	004E6F
caring	370	E0192C
sexual	369	3688BA
bothered	367	7EC31B
horrid	367	99001E
stuffed	366	034E6D
lovely	364	187429
thousand	363	FFB300
regular	363	552966
unsettled	363	950125
sane	361	992F93
shallow	361	F30157
stale	361	73207C
wandering	360	FEA740
final	359	004E6F
suffering	357	FDD93D
romantic	356	EA3137
pretend	356	7EC31B
cranky	355	F30172
tough	353	394378
beaten	353	B2DC10
higher	351	F30157
qualified	350	7D1842
hidden	350	FF6600
riding	350	B2DC10
grumpy	349	FED73C
wide	349	043F69
proper	348	00696F
deserved	348	FE9901
suicidal	347	18213E
significant	346	08468F
plain	345	00696F
curling	345	FF7F1C
smug	345	CB1F13
raw	344	FEA740
feverish	344	263F67
protected	343	595884
smiling	343	FF7F1C
comfy	342	00744E
wee	341	FD0100
immature	341	FE9829
hated	341	28ADCE
obvious	339	64B822
leading	339	017C8C
picked	338	004E6F
tall	337	C36619
pm	337	FFF700
wrapped	336	73207C
fuzzy	336	9256A0
eaten	334	99001E
crack	333	FF7F00
six	332	64B822
massive	332	F70059
uninspired	332	FFFF4F
suffocating	329	F30263
girly	328	FFFF4F
needy	326	2E9127
sign	325	1B2958
fabulous	325	E49202
worrying	325	A5238D
intelligent	325	243C96
sometime	324	263F67
poorly	324	2C558B
indifferent	323	FED73C
limited	323	A5238D
shared	322	FF7F00
ruined	320	014872
wise	320	18213E
tearing	320	B2DC10
searching	320	1B2958
sent	319	FDBF2C
dragging	319	E4010A
genuine	318	950125
bright	317	2D6E8A
outcast	316	027975
swimming	315	004E6F
removed	314	FFB200
private	314	11581C
smoking	314	FDBF2C
alien	314	187429
crashing	313	EA3137
unsafe	313	026874
concerned	313	1B2958
unproductive	313	FF7F00
pressed	312	F30157
cross	312	992F93
overall	311	08468F
ambitious	310	3A4AA1
unattractive	308	015B5C
vindicated	308	2D6E8A
jack	308	027975
smaller	307	41A84D
honoured	307	243C96
informed	307	595884
happiest	307	41B3BD
wicked	306	187429
dear	305	00696F
sea	305	187429
cheerful	304	40B6B8
cheek	304	FD9927
claustrophobic	302	F30157
opened	302	4A688C
loud	302	017C8C
yelling	302	28ADCE
horny	301	FF4B02
comforted	301	FEA740
moody	301	263F67
spread	301	034E6D
betraying	299	FF7F00
mellow	299	FE9829
enlightened	299	B2DB11
returning	298	E49202
crash	298	41A84D
degree	297	F1B62A
thru	297	312675
afternoon	296	99D013
shock	294	FFF700
dressed	294	552966
invincible	293	E4010A
bought	293	026874
original	293	CB1F13
frail	292	07548A
drowsy	292	E49202
melting	291	0A3B8A
organized	290	552966
focused	290	394378
struggling	289	017C8C
surface	289	2E9127
shaky	288	FDD93D
sentimental	288	4E5F7B
regardless	288	18213E
childish	285	283152
rolling	284	7D1842
matt	283	99D013
stabbing	283	084892
creepy	282	FFD93C
holy	282	FF4B02
included	282	FB9A27
stabbed	281	99CF15
quality	280	1B2958
warmed	279	00734E
renewed	278	084892
bond	278	263D67
dress	278	FF4B02
covered	278	E4010A
catching	277	9256A0
round	277	E97802
punished	277	992F93
bare	277	FD9927
overcome	275	28ADCE
shed	274	FF7F00
earned	273	1E3869
improved	272	312675
surprised	271	FDD93D
profound	269	3688BA
impending	268	A5238D
complicated	268	40B6B8
previous	268	64B822
wild	268	7EC31B
senior	267	28669F
split	267	99D013
sliding	266	FF1A00
recent	264	552966
incompetent	264	F30157
green	264	F1B62A
dirt	264	004E6F
misunderstood	263	FFFF4F
ignorant	262	235C93
scary	262	41B3BD
sensitive	261	41B3BD
color	261	41A84D
stoned	259	9C0047
unique	258	FE9901
naughty	257	E6C637
cynical	256	FFFF4F
unlike	256	017E94
stretched	256	595884
chicken	256	034E6D
christian	255	28669F
welcomed	255	FD0100
festive	255	084892
sucking	254	00696F
equal	254	C36619
affected	254	FFD801
resentful	254	FFD801
hundred	253	FF7F1C
unimportant	252	394378
headed	252	FDBF2C
excellent	250	FD0100
double	250	FEA53F
validated	249	00696F
sticking	249	3A578F
quick	249	3FB6BA
released	248	FF7F00
nuts	248	F70059
mum	247	99D013
stopping	247	263D67
uncertain	247	0A3B8A
expressed	246	394378
chipper	246	1B2958
foreign	246	017E94
mighty	244	CB1F13
professional	244	552966
sicker	244	283152
antisocial	243	B2DB11
bush	243	014872
specific	241	034E6D
sickly	241	FEA53F
artistic	241	F70059
balanced	240	EA3137
